,Config,Acc.,BOPs,Sparsity,Neff,aIQ,Layer#1,Layer#2,Layer#3,Layer#4,ILP,Synth,LUT,FF,BRAM,URAM,DSP,Latency
0,w4a7_w4a7_w4a7_w4a7,0.75665,163036.03433429316,42.83435862383231,0.4162406040920177,0.9962391492635663,4,4,4,4,0,1,28269,9035,1.5,0,151,100
1,w4a7_w4a7_w4a7_w5a8,0.7571416666666667,170037.41055806936,37.45727956254272,0.5207735394028575,1.0304114492815224,4,4,4,5,0,0,0,0,0.0,0,0,0
2,w4a7_w4a7_w4a7_w6a9,0.7570166666666667,172637.05229672292,36.95602642971064,0.5469614973248317,1.0385098638643386,4,4,4,6,0,0,0,0,0.0,0,0,0
3,w4a7_w4a7_w4a7_w7a10,0.7552666666666666,174535.76810640338,37.73069036226931,0.5039318197862944,1.0241963345652634,4,4,4,7,0,0,0,0,0.0,0,0,0
4,w4a7_w4a7_w4a7_w8a11,0.7584583333333333,177792.38612368022,36.933242196400094,0.5469717614913601,1.039187853653522,4,4,4,8,0,0,0,0,0.0,0,0,0
5,w4a7_w4a7_w5a8_w4a7,0.7578166666666667,182260.36539147128,33.31054910002278,0.4207179575934824,0.998331904963216,4,4,5,4,1,1,34842,9622,1.5,0,154,90
6,w4a7_w4a7_w5a8_w5a8,0.7596875,180992.68098176335,36.18136249715197,0.48986789676166975,1.021850094248436,4,4,5,5,0,0,0,0,0.0,0,0,0
7,w4a7_w4a7_w5a8_w6a9,0.7602791666666666,184469.0235568353,35.019366598313965,0.5264613874935289,1.0336814247158772,4,4,5,6,0,0,0,0,0.0,0,0,0
8,w4a7_w4a7_w5a8_w7a10,0.7580291666666666,185828.14819690114,33.76623376623377,0.5987098162668406,1.0547234014394575,4,4,5,7,0,0,0,0,0.0,0,0,0
9,w4a7_w4a7_w5a8_w8a11,0.7576625,188741.62950774716,33.03713830029619,0.521687968362211,1.0309459472899491,4,4,5,8,0,0,0,0,0.0,0,0,0
10,w4a7_w4a7_w6a9_w4a7,0.7585916666666667,192752.0566022213,31.6473000683527,0.47402568818018914,1.0162308040303698,4,4,6,4,0,1,36680,9749,1.5,0,249,90
11,w4a7_w4a7_w6a9_w5a8,0.7597625,191975.55310571785,33.19662793347004,0.49466957088474245,1.0234169104988153,4,4,6,5,0,0,0,0,0.0,0,0,0
12,w4a7_w4a7_w6a9_w6a9,0.7593333333333333,197315.5225010284,31.054910002278422,0.5617481193056446,1.044135172825849,4,4,6,6,0,0,0,0,0.0,0,0,0
13,w4a7_w4a7_w6a9_w7a10,0.7597458333333333,192498.51814068283,34.44976076555024,0.5731239751146692,1.0477920971777304,4,4,6,7,0,0,0,0,0.0,0,0,0
14,w4a7_w4a7_w6a9_w8a11,0.7589833333333333,193498.5372274784,36.06744133059922,0.5716140036757621,1.0469814146963468,4,4,6,8,0,0,0,0,0.0,0,0,0
15,w4a7_w4a7_w7a10_w4a7,0.7581375,194647.96336212807,35.83959899749373,0.5034404144739342,1.0254193432707353,4,4,7,4,0,0,0,0,0.0,0,0,0
16,w4a7_w4a7_w7a10_w5a8,0.7588791666666667,196340.19426847663,36.59147869674185,0.47823927367521374,1.0177294307312228,4,4,7,5,0,0,0,0,0.0,0,0,0
17,w4a7_w4a7_w7a10_w6a9,0.7592583333333334,200914.4839160839,35.79403053087264,0.5465994915706062,1.0394476567480448,4,4,7,6,0,0,0,0,0.0,0,0,0
18,w4a7_w4a7_w7a10_w7a10,0.759,209180.5204991087,29.551150603782183,0.5810054329369074,1.0498371426743236,4,4,7,7,0,0,0,0,0.0,0,0,0
19,w4a7_w4a7_w7a10_w8a11,0.7595416666666667,209867.05542300834,31.259968102073366,0.5624066659446876,1.0444331867632473,4,4,7,8,0,0,0,0,0.0,0,0,0
20,w4a7_w4a7_w8a11_w4a7,0.7557916666666666,204821.93533525296,33.51560719981773,0.45545199269606723,1.008813112899656,4,4,8,4,0,1,33559,10229,1.5,0,473,105
21,w4a7_w4a7_w8a11_w5a8,0.7578458333333333,205552.5489099136,33.90293916609706,0.535554940572581,1.0353631242121866,4,4,8,5,0,0,0,0,0.0,0,0,0
